SH, 05, 2007120718,   , BEST,   0, 159S, 1791W, 100,  948, TY,  50, NEQ,   50,   55,   50,   50, 1007,  195,  20,   0,   0,   P,   0,    ,   0,   0,      DAMAN, D, 
SH, 05, 2007120718,   , BEST,   0, 159S, 1791W, 100,  948, TY,  64, NEQ,   35,   35,   35,   35, 1007,  195,  20,   0,   0,   P,   0,    ,   0,   0,      DAMAN, D, 
SH, 05, 2007120800,   , BEST,   0, 163S, 1785W,  90,  956, TY,  34, NEQ,   75,   85,   75,   75, 1007,  195,  25,   0,   0,   P,   0,    ,   0,   0,      DAMAN, D, 
SH, 05, 2007120800,   , BEST,   0, 163S, 1785W,  90,  956, TY,  50, NEQ,   50,   55,   50,   50, 1007,  195,  25,   0,   0,   P,   0,    ,   0,   0,      DAMAN, D, 
SH, 05, 2007120800,   , BEST,   0, 163S, 1785W,  90,  956, TY,  64, NEQ,   35,   35,   35,   35, 1007,  195,  25,   0,   0,   P,   0,    ,   0,   0,      DAMAN, D, 
SH, 05, 2007120806,   , BEST,   0, 169S, 1783W,  75,  967, TY,  34, NEQ,  100,   85,   90,  100, 1007,  200,  25,   0,   0,   P,   0,    ,   0,   0,      DAMAN, M, 
SH, 05, 2007120806,   , BEST,   0, 169S, 1783W,  75,  967, TY,  50, NEQ,   55,   55,   55,   55, 1007,  200,  25,   0,   0,   P,   0,    ,   0,   0,      DAMAN, M, 
SH, 05, 2007120812,   , BEST,   0, 173S, 1779W,  65,  974, TY,  34, NEQ,   70,   65,   60,   60, 1007,  200,  25,   0,   0,   P,   0,    ,   0,   0,      DAMAN, M, 
SH, 05, 2007120812,   , BEST,   0, 173S, 1779W,  65,  974, TY,  50, NEQ,   35,   35,   35,   35, 1007,  200,  25,   0,   0,   P,   0,    ,   0,   0,      DAMAN, M, 
SH, 05, 2007120818,   , BEST,   0, 177S, 1779W,  60,  978, TS,  34, NEQ,   65,   80,   75,   55, 1007,  170,  30,   0,   0,   P,   0,    ,   0,   0,      DAMAN, S, 
SH, 05, 2007120900,   , BEST,   0, 181S, 1780W,  50,  985, TS,  34, NEQ,   65,   75,   70,   65, 1007,  170,  30,   0,   0,   P,   0,    ,   0,   0,      DAMAN, S, 
SH, 05, 2007120906,   , BEST,   0, 185S, 1780W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1007,  170,  30,   0,   0,   P,   0,    ,   0,   0,      DAMAN, S, 
SH, 05, 2007120912,   , BEST,   0, 188S, 1780W,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 05, 2007120918,   , BEST,   0, 191S, 1782W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 05, 2007121000,   , BEST,   0, 196S, 1785W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
